key,message,comment,context
"Display partner sequence on printing",印刷時にパートナーシーケンスを表示する,,
"Display price on printing",印刷時に価格を表示する,,
"Display product code on printing",印刷時に製品コードを表示する,,
"Display sale value in location financial data printing",ロケーション財務データ印刷における販売価値の表示,,
"Display tracking number details on Picking printing",ピッキング印刷時に追跡No.の詳細を表示する,,
"Display tracking number details on certificate of conformity printing",適合証明書印刷時に追跡No.の詳細を表示,,
"Do you want to allocate all the products ?",すべての製品を割り当てますか?,,
"Do you want to generate backorder for not delivered quantities?",未搬送数量のバックオーダーを生成しますか?,,
"Do you want to generate backorder for not received quantities?",未受入数量のバックオーダーを生成しますか?,,
Draft,ドラフト,,
"Draft move",ドラフト移動,,
"Economic area",経済分野,,
"Electronic signature",電子署名,,
"Email sent",送信されたメール,,
"Enable product description copy",製品説明のコピーを有効にする,,
"End date",終了日,,
"Enter tracking numbers",追跡No.を入力してください,,
"Estimated Date",見積日,,
"Estimated date",見積日,,
"Excl. out of stock products",,,
"Exonerated shipment and transfer",免除された出荷および転送,,
"Expected Qty",予想数量,,
"Expected/Future Quantity",予測数量/将来数量,,
"Expired product(s): %s",期限切れの製品:%s,,
Export,Export,,
"Export Type",Exportタイプ,,
"Export customs declaration",輸出税関申告書,,
External,外部,,
"External delivery comment",外部配信コメント,,
FIFO,先入れ先出し,,
"Feature currently not available with Open Street Maps.","Open Street Mapsでは現在使用できない機能です",,
"File %s successfully imported.",ファイル%sは正常にImportされました,,
"File (CSV)","ファイル ( CSV )",,
"File Format",ファイル形式,,
"Fill inventory",在庫の補充,,
"Fill inventory with",在庫の補充,,
"Filter on available products",使用可能な製品のフィルタリング,,
Filters,フィルタ,,
"Financial leasing",金融リース,,
"Firm purchase or sale",確定購買または確定販売,,
"Fixed transport installations",固定輸送設備,,
"Forecasted Stock",予測在庫,,
Forecasts,予測,,
Forwarder,フォルワーダー,,
"Freight Carrier",運送業者,,
"Freight Carrier Mode",運送業者モード,,
"Freight Carrier Mode form","[運送業者モード] フォーム",,
"Freight Carrier Mode grid","「運送業者モード」 グリッド",,
"Freight carrier mode",運送業者モード,,
"Freight carrier mode list",運送業者モード・リスト,,
From,開始日,,
"From Date",日付:自,,
"From address",差出人アドレス,,
"From date",開始日,,
"From rack",ラックから,,
"From stock location",在庫場所から,,
"Full name",フルネーム,,
Fullname,フルネーム,,
"Fully spread over logistical forms",物流形態に全面展開する,,
Future,将来,,
"Future Qty",将来の数量,,
"Future qty",将来の数量,,
Gap,ギャップ,,
"Gap value",ギャップ値,,
General,全般,,
"General Stock Details",一般在庫詳細,,
"Generate invoice",請求書の生成,,
"Generate new production auto tracking Nbr.",新しい生産自動トラッキングNo.を生成します,,
"Generate new purchase auto tracking Nbr.",新規購入自動追跡No.を生成します,,
"Generate new sale auto tracking Nbr.",新規販売自動追跡No.を生成します,,
"Generate refund",払戻の生成,,
"Generate reversion",復帰を生成,,
"Generate stock configurations",在庫設定を生成する,,
"Gross Mass",グロスマス,,
"Gross mass",グロスマス,,
"Historical Period",歴史時代,,
"ISPM standard required",ISPM標準必須,,
"Ideal Qty",理想的な数量,,
Import,Import,,
"Import customs clearance",輸入通関,,
"Import duties and taxes",輸入税,,
"In progress",進行中,,
"Incl. obsolete products",,,
"Include out of stocks products",在庫品を含む,,
"Incoming amount",受信量,,
"Incoming move",受信ムーブ,,
"Incoming move information",受信ムーブ情報,,
"Incoming move lines",始点側の移動ライン,,
"Incoming quantity",受入数量,,
"Incorrect product for stock correction",在庫訂正用不良品,,
"Incorrect product in inventory line",在庫明細の製品が正しくありません,,
Incoterm,インコテルム,,
"Incoterm Code",コード,,
"Incoterm Name",名称,,
Incoterms,インコタームズ,,
Insurance,保険業,,
Internal,内部,,
"Internal Stock Move filters",内部素材移動フィルタ,,
"Internal Stock Moves",社内在庫移動,,
"Internal delivery comment",社内配信コメント,,
"Internal move",内部移動,,
"Internal move information",内部移動情報,,
"Internal move lines",内部移動ライン,,
"Internal number",内部No.,,
"Internal stock move",内部在庫移動,,
"Intracommunity acquisition taxable in france",フランスで課税される企業内買収,,
"Invalid dimensions on packing line No. %d",保圧ラインNo.%dの寸法が無効です,,
Inventories,棚卸資産,,
"Inventories History",在庫履歴,,
"Inventories filters",インベントリフィルタ,,
Inventory,在庫,,
"Inventory Calendar",在庫カレンダ,,
"Inventory N°",インベントリNo.,,
"Inventory Title",在庫タイトル,,
"Inventory line",在庫明細,,
"Inventory lines",在庫明細,,
"Inventory virtual stock location",仮想在庫場所の在庫,,
"Inventory's lines' list has been filled.",在庫の明細リストが入力されました,,
Inventory.barcode,バーコード,,
Inventory.category,種別,,
Inventory.code,コード,,
Inventory.company,会社,,
Inventory.createdOn,作成日,,
Inventory.date,日付,,
Inventory.description,説明,,
Inventory.fromRack,から,,
Inventory.lastInventoryDate,最終在庫,,
Inventory.name,名称,,
Inventory.plannedEndDateT,計画終了日,,
Inventory.plannedStartDateT,計画開始日,,
Inventory.product,商品,,
Inventory.productCategory,製品カテゴリ,,
Inventory.productFamily,会計ファミリ,,
Inventory.rack,ラック,,
Inventory.realQty,実数,,
Inventory.stockLocation,在庫場所,,
Inventory.title,インベントリ,,
Inventory.toRack,へ,,
Inventory.trackingNumber,トラッキングNo.,,
Inventory.unit,想定数量,,
Invoiced,請求済,,
"Is ISPM15 required","ISPM 15が必要ですか",,
"Is avg price changed",平均価格が変更されているか,,
"Is certificate of conformity required",適合証明書が必要,,
"Is certificate of conformity signed",適合証明書が署名されていること,,
"Is reversion",復帰,,
LIFO,後入れ先出し,,
Label,ラベル,,
"Last Future Stock Move",前回の将来の在庫移動,,
"Last Inventory date",最終在庫日,,
"Last inventory",最終在庫,,
"Last inventory date",最終在庫日,,
"Last inventory real qty",最終在庫実質数量,,
"Late Deliveries",遅延搬送,,
"Late customer deliveries",遅延顧客搬送,,
"Late supplier arrivals",仕入先到着遅延,,
"Line length too big",線の長さが大きすぎます,,
Lines,線,,
Links,リンク,,
"Loading on truck in port of import",輸入港におけるトラック積載量,,
"Loading on vessel/airplane in port of export",輸出港における船舶又は航空機への積込み,,
"Location Content",ロケーションコンテンツ,,
"Location Lines",位置基準,,
"Location content",ロケーションコンテンツ,,
"Location content details",ロケーションコンテンツの詳細,,
"Location financial data",所在地の財務データ,,
"Logistical form",物流形態,,
"Logistical form lines",ロジスティックフォームライン,,
"Logistical forms",物流形態,,
"Manage backorder",バックオーダーの管理,,
"Manage backorder?",バックオーダーの管理?,,
"Manage production tracking Nbr.",プロダクショントラッキングNo.を管理します,,
"Manage purchase tracking Nbr.",購入追跡No.の管理,,
"Manage sale tracking Nbr.",販売追跡No.を管理します,,
"Manufacturing order",製造オーダー,,
Map,地図,,
"Materials for construction contract",工事請負用資材,,
"Max stock",最大在庫,,
"Max stock date",最大在庫日,,
"Max. Qty",[最大.数量,,
"Message template",メッセージテンプレート,,
"Message template for stock rules",在庫ルールのメッセージテンプレート,,
"Min stock",最小在庫,,
"Min stock date",最小在庫日,,
"Min. Qty",[最小].数量,,
Missing,見つからない,,
"Missing logistical form sequence for company %s",会社%sのロジスティックスフォームシーケンスがありません,,
"Mode of transport",輸送モード,,
Month,月,,
"Move canceled",移動はキャンセルされました,,
"Move created",移動が作成されました,,
"Move date",日付の移動,,
"Move details",詳細の移動,,
"Move realized",移動を実現,,
Moves,移動,,
"Moves Cancelled",取消済移動,,
"Moves History",移動履歴,,
"Moves To Prepare",準備のために移動,,
"Must set mass unit in stock configuration for customs.",税関のために在庫構成に質量単位を設定する必要があります,,
Name,名称,,
"Nature of transaction",取引の性質,,
"Nbr of incoming moves",次の動きのNo.,,
"Nbr of outgoing moves",外向き移動のNo.,,
"Net mass",正味質量,,
No,No.,,
"No Tracking Numbers Added",トラッキングNo.が追加されていません,,
"No economic area is configured for %s.",%sに構成された経済領域はありません,,
"No inventory lines has been created.",在庫明細は作成されていません,,
"No move lines to split",分割する移動線がありません,,
"No new stock move was generated",新しい在庫移動は生成されませんでした,,
"No record found",レコードが見つかりません,,
"No reversion generated",復帰は生成されませんでした,,
"No stock correction needed, current quantity in stock equals real quantity.",在庫修正は不要で、現在の在庫数量は実際の数量に等しくなります,,
"No stock moves found for this inventory.",この在庫の在庫移動は見つかりませんでした,,
"Non temporary implying transfer of property without compensation",財産の無償移転を意味する一時的でないもの,,
Non-compliant,非準拠,,
"Not invoiced",未請求,,
Note,注,,
Notes,備考,,
"Number Of Packages",パッケージ数,,
"Number Of Palettes",パレットの数,,
"Number of periods",期間数,,
ODS,ODS,,
"Old qty",旧数量,,
"Operation after custom work return to initial state",カスタム作業が初期状態に戻った後の操作,,
"Operation after custom work return to other state",カスタム作業が別の状態に戻った後の操作,,
"Operation order",操作順序,,
"Operations for custom work non return",返却不要のカスタム作業,,
"Operations for custom work return",カスタム・ワーク・リターンの操作,,
Origin,由来,,
"Origin Id",原点ID,,
"Origin Type",原点タイプ,,
"Origin stock move",原点移動,,
"Other expeditions",その他の遠征,,
"Other introductions",その他の紹介,,
"Other returns",その他の収益,,
"Other transactions",その他の取引,,
"Outgoing amount",支出額,,
"Outgoing move",終点側の移動,,
"Outgoing move information",発信移動情報,,
"Outgoing move lines",終点側の移動線,,
"Outgoing quantity",出庫数量,,
"Own propulsion",独自の推進力,,
PDF,PDF,,
"PFP authorized",PFP承認済み,,
"PFP litigation",PFP訴訟,,
"Pack price select",パック価格選択,,
"Packing line",梱包ライン,,
"Packing lines",梱包明細,,
Pallet,パレット,,
"Pallet %d is empty.",パレット%dは空です,,
Parcel,区画,,
"Parcel %d is empty.",区画%dは空です,,
"Parcel/pallet number",区画/パレットNo.,,
"Parent customs code",親の税関コード,,
"Parent stock location",親在庫の場所,,
"Partial stock move (From","一部在庫移動 (移動元)",,
"Partially available",部分的に利用可能,,
"Partially invoiced",一部請求済,,
Partner,パートナー,,
"Partner is missing.",パートナーが見つかりません,,
"Partner mismatch: %s",パートナーの不一致:%s,,
"Partner product quality rating",パートナー製品の品質評価,,
"Partner product quality ratings",パートナー製品の品質評価,,
"Partner stock settings",パートナー株の設定,,
"Perishable expiration date",賞味期限,,
"Picking order edit date",ピッキング順序編集日,,
"Picking order has been edited for this stock move, it can not be canceled.",この在庫移動のピッキング順序が編集されました。取り消すことはできません,,
"Picking order is edited",ピッキング順序の編集,,
"Picking order printing detailed",ピッキング順序印刷詳細,,
"Picking printed",ピッキング印刷,,
PickingStockMove.aspect,アスペクト,,
PickingStockMove.code,コード,,
PickingStockMove.customerCode,顧客コード,,
PickingStockMove.deliveryCondition,配送条件,,
PickingStockMove.externalReference,お客様のリファレンス,,
PickingStockMove.lineNumber,行No.,,
PickingStockMove.manual,マニュアル,,
PickingStockMove.mark,マーク,,
PickingStockMove.note,注,,
PickingStockMove.qty,数量,,
PickingStockMove.signaling,シグナリング,,
PickingStockMove.visa,ビザ,,
PickingStockMove.weekCode,ウィークコード,,
PickingStockMove.withWithout,nbspを使用;最小;最小;最小;最小;ウィズ,,
"Pickup default stock location",ピック・デフォルト在庫場所,,
Plan,計画,,
Planned,計画済,,
"Planned End Date",計画終了日,,
"Planned Inventories",計画在庫,,
"Planned Start Date",計画開始日,,
"Planned move",計画的な移動,,
"Planned stock move",計画在庫移動,,
"Planned stock move line list",計画在庫移動明細リスト,,
"Planned stock move lines",計画在庫移動明細,,
"Please configure mass units for this product packing : %s",この製品のパッキングの質量単位を設定してください:%s,,
"Please enter a valid split quantity",有効な分割数量を入力してください,,
"Please fill all inventory lines",すべての在庫明細を入力してください,,
"Please fill in the delivery (to) address to get the delivery itinerary.",お届け先のご住所をご記入いただき、お届け予定表をご入手ください,,
"Please fill in the source (from) location address to get the delivery itinerary.",送り先の住所を記入してください,,
"Please fill printing settings on following stock moves: %s",次の在庫移動の印刷設定を入力してください:%s,,
"Please fill the conformity for the product(s) : %s",製品の適合性を入力してください:%s,,
"Please fill the tracking number for the product(s) : %s",製品の追跡No.を入力してください:%s,,
"Please filled estimated delivery date",配達予定日を記入してください,,
"Please filled supplier shipment date and supplier shipment reference.",仕入先出荷日と仕入先出荷参照を入力してください,,
"Please select lines to split",分割する行を選択してください,,
"Please select the Stock Location(s) to print.",印刷する在庫の場所を選択してください,,
"Please select the StockMove(s) to print.",印刷するStockMoveを選択してください,,
"Please select the stock move(s) to print",印刷する在庫移動を選択してください,,
"Please set an economic are in AppStock.",経済はAppStockに設定してください,,
"Price used for WAP",WAPに使用される価格,,
Print,印刷,,
"Print Incoming Move",着信移動を印刷,,
"Print Internal Move",内部移動を印刷,,
"Print Outgoing Move",印刷出力移動,,
"Print Picking StockMove(s)",ピック在庫移動の印刷,,
"Print StockMove(s)",在庫移動の印刷,,
"Print certificate of conformity",適合証明書を印刷する,,
"Print packing list",パッキングリストを印刷,,
"Print picking order",ピッキング順序の印刷,,
"Printing Type",印刷タイプ,,
"Printing settings",印刷設定,,
Product,商品,,
"Product Code",製品コード,,
"Product Name",製品名,,
"Product cannot be null.",製品をNULLにすることはできません,,
"Product category",製品カテゴリ,,
"Product code",製品コード,,
"Product deliveries in qty by country",各国への製品納入数量,,
"Product deliveries in qty by country by accounting family",会計ファミリー別の国別数量別製品出荷,,
"Product description",製品の説明,,
"Product model",製品モデル,,
"Product name",製品名,,
"Product quantity in other stock locations",他の在庫場所の製品数量,,
"Product tracking number",商品追跡No.,,
"Product type",製品タイプ,,
"Product's stocks %s (%s) are not in sufficient quantity to realize the delivery","製品の在庫%s (%s) は配送を実現するのに十分な量ではありません",,
"Product's stocks %s (%s) exceeds maximum stock rules.","製品の在庫%s (%s) が最大在庫ルールを超えています",,
"Product's stocks %s (%s), tracking number %s are not in sufficient quantity to realize the delivery","製品の在庫%s (%s) 、追跡No.%sは配送を実現するのに十分な量ではありません",,
"Production Qty by tracking",追跡による生産数量,,
"Production Stock Move in Planned",計画内の生産在庫移動,,
"Production Stock Move out Planned",生産在庫移動計画済,,
"Production forecasts",生産予測,,
"Production needs",生産ニーズ,,
"Production stock move in realized",生産在庫移動実現,,
"Production stock move out realized",生産在庫の移動が実現しました,,
"Production tracking management",生産管理,,
Products,製品,,
Provision,引当金,,
"Purchase Qty by tracking",追跡による購入数量,,
"Purchase order",発注,,
"Purchase price",購入価格,,
"Purchase price in company currency, used for declaration of exchange.",交換の宣言に使用される会社通貨での購入価格,,
"Purchase tracking management",購入追跡管理,,
Qty,数量,,
"Quality control default stock location",品質管理のデフォルト在庫場所,,
"Quality rating",品質評価,,
Quantities,数量,,
Quantity,数量,,
"Quantity is required on line %d.",行%dに数量が必要です,,
Rack,ラック,,
"Racks range",ラック範囲,,
"Real Qty",実際の数,,
"Real Quantity",実数,,
"Real qty",実際の数量,,
"Real quantity problem",実数問題,,
"Real/Current Quantity",実数/現在の数量,,
Realize,実現,,
"Realize stock moves upon parcel/pallet collection",集荷時の在庫移動の実現,,
Realized,実現,,
"Realized stock move lines",実現在庫移動明細,,
Reason,理由,,
"Receipt default stock location",受入デフォルト在庫保管場所,,
"Receipt stock move",受入在庫移動,,
Ref.,参照.,,
"Refill Qty",補充数量,,
"Refill type",詰め替え用タイプ,,
"Refresh the products net mass",製品正味質量を更新する,,
Regime,体制,,
"Rental loan leasing more than 24 months",24ヵ月以上の賃貸,,
"Replacement of non returned goods",返品されていない商品の交換,,
"Replacement of returned goods",返品交換,,
Reportings,レポート,,
Reports,報告,,
"Request reservation",予約のリクエスト,,
"Require to fill conformity for products ticked 'Control on Receipt'","「受入管理」 にチェックされた製品の適合性を満たす必要がある",,
"Require to fill the shipment information",出荷情報を入力する必要がある,,
"Reservation requested",要予約,,
"Reserved Qty",予約数量,,
"Reserved qty",予約数量,,
"Return Surplus",返品剰余金,,
"Return of goods",返品,,
"Return surplus",返品剰余金,,
"Reverse stock move (From","在庫移動の戻し処理 (自)",,
Reversions,反転,,
Run,実行,,
"Sale Qty by tracking",追跡による販売数量,,
"Sale order",販売オーダー,,
"Sale tracking management",販売追跡管理,,
"Sale value",売却価額,,
Search,検索,,
"See stock move lines","「素材移動ライン」 を参照",,
"Select format to Export",Exportする形式を選択,,
Seller,売主,,
"Send email on stock move realization",在庫移動実現のメールを送信,,
"Send email when planning stock move",在庫の移動を計画するときに電子メールを送信する,,
"Send email when saving logistical form",ロジスティックフォームを保存するときに電子メールを送信する,,
"Separate the shipment operations",出荷作業を分離する,,
Seq.,シーケンス,,
Sequence,シーケンス,,
"Ship/Receive all products",全製品の出荷/受入,,
"Shipment Information",出荷情報,,
"Shipment Mode",出荷モード,,
"Shipment Mode form","「出荷モード」 フォーム",,
"Shipment Mode grid","「出荷モード」 グリッド",,
"Shipment mode",出荷モード,,
"Shipped date",出荷日,,
"Shipped qty",出荷数量,,
"Show Generated Stock Move",生成された素材移動を表示,,
"Show detailed stock",詳細在庫の表示,,
"Show stock move lines",素材移動線を表示,,
"Show stock move(s)",在庫移動を表示します,,
"Signatory user",署名ユーザ,,
"Special operations",特殊作戦,,
"Special split",特別分割,,
Split,分割,,
"Split by tracking numbers",追跡No.で分割,,
"Split by unit",単位で分割,,
"Split in Qty of",の数で分割,,
"Split into 2",2つに分割,,
"Split quantity cannot be higher than real quantity.",分割数量を実際の数量より大きくすることはできません,,
"Split quantity cannot be negative.",分割数量を負にすることはできません,,
Start,開始,,
Status,ステータス,,
Stock,株式,,
"Stock Availability",在庫の可用性,,
"Stock Correction",在庫修正,,
"Stock Correction Reason",株式訂正事由,,
"Stock Correction Reasons",訂正事由,,
"Stock Corrections",在庫訂正,,
"Stock History",在庫履歴,,
"Stock Location",保管場所,,
"Stock Location Tree",在庫保管場所ツリー,,
"Stock Location content",在庫場所の内容,,
"Stock Locations",在庫場所,,
"Stock Locations content",在庫位置の内容,,
"Stock Move",在庫移動,,
"Stock Move Lines",在庫移動明細,,
"Stock Move Origin",素材移動原点,,
"Stock Moves",在庫移動,,
"Stock Moves consumption historical",在庫移動消費履歴,,
"Stock Moves consumption planned",在庫移動消費計画,,
"Stock Moves historical",在庫移動履歴,,
"Stock Moves planned",在庫移動計画,,
"Stock Rules",在庫ルール,,
"Stock availability",在庫状況,,
"Stock config",在庫構成,,
"Stock config (${ name })","在庫構成 (${name})",,
"Stock configuration",在庫構成,,
"Stock configurations",在庫構成,,
"Stock control",在庫管理,,
"Stock correction",在庫修正,,
"Stock history",株式履歴,,
"Stock history line",履歴行,,
"Stock location",在庫場所,,
"Stock location content",在庫ロケーションの内容,,
"Stock location details",在庫保管場所詳細,,
"Stock location line",在庫保管場所明細,,
"Stock location lines",在庫保管場所明細,,
"Stock location value",在庫ロケーション値,,
"Stock location value on form view",フォームビューの在庫位置の値,,
"Stock location(s)",在庫ロケーション,,
"Stock managed",管理対象株式,,
"Stock management",株式管理,,
"Stock move",株価の動き,,
"Stock move content",株式移転の内容,,
"Stock move information",在庫移動情報,,
"Stock move line",在庫移動ライン,,
"Stock move line is required on line %d.",ライン%dには在庫移動ラインが必要です,,
"Stock move lines",在庫移動明細,,
"Stock move printing settings",在庫移動印刷設定,,
"Stock moves",在庫移動,,
"Stock per day",1日の在庫,,
"Stock rule",在庫ルール,,
"Stock rule information",在庫ルール情報,,
"Stock rules",在庫ルール,,
"Stock rules created",作成された在庫ルール,,
"Stock's movement's type undefined",株式の動きのタイプが定義されていません,,
StockLocation.accountingValue,会計値,,
StockLocation.code,コード,,
StockLocation.date,日付,,
StockLocation.detailsByStockLocation,場所ごとの詳細,,
StockLocation.location,所在地,,
StockLocation.locationFinancialData,所在地の財務データ,,
StockLocation.locationTotalContent,ロケーション合計コンテンツ,,
StockLocation.locations,所在地,,
StockLocation.productName,製品名,,
StockLocation.qtyUnit,数量,,
StockLocation.saleValue,売却価額,,
