key,message,comment,context
Panel,パネル,,
Parent,親,,
Percentage(%),"パーセント (%)",,
Permissions,アクセス許可,,
"Pie Chart",円グラフ,,
"Please correct the workflow diagram.",ワークフロー図を修正してください,,
"Please input value bind with single quotation.",値bindを単一引用符で囲んで入力してください,,
"Please provide unique code. The code '%s' is already used",,,
Process,工程,,
"Process display type",プロセス表示タイプ,,
"Process studio",プロセススタジオ,,
"Process tracking",プロセス追跡,,
Properties,プロパティ,,
Radar,レーダー,,
"ReadOnly for",読み取り専用,,
"Record Id",レコードID,,
"Record model",レコードモデル,,
"Record name",レコード名,,
Regex,レジックス,,
Report,報告,,
Reporting,報告,,
Required,必須,,
"Required If",必要な場合,,
Roles,役割,,
Scatter,スキャッタ,,
Script,スクリプト,,
"Script type",スクリプトの種類,,
"Second group by",2番目のグループ,,
"Select Option",オプションを選択,,
Selection,選択,,
Selections,選択,,
"Send directly",直接送信,,
"Send option",送信オプション,,
Separator,セパレータ,,
Sequence,シーケンス,,
"Show If",条件を表示,,
"Show Title",タイトルを表示,,
"Show process tracking",プロセス追跡を表示,,
"Simple Select",単純選択,,
"Source field",ソースフィールド,,
"Start node",開始ノード,,
Status,ステータス,,
"Status per day",日ごとのステータス,,
"Status per month",1か月あたりのステータス,,
"Status time(days)","ステータス時間 (日数)",,
"Status time(hours)","ステータス時間 (時間)",,
String,文字列,,
Studio,スタジオ,,
"Sub lines",,,
"Tag count",タグ数,,
"Tag label",タグラベル,,
"Tag method",Tagメソッド,,
"Tag style",タグスタイル,,
Target,ターゲット,,
"Target Json Model",ターゲットJsonモデル,,
"Target field",ターゲットフィールド,,
"Target json",ターゲットjson,,
"Target object",ターゲットオブジェクト,,
"Target title",ターゲットタイトル,,
"Target type",ターゲットタイプ,,
"Task node",タスクノード,,
Template,テンプレート,,
Text,テキスト,,
Time,時間,,
"Time spent",所要時間,,
"Time spent (hours/days)","所要時間 (時間/日)",,
"Time spent per status (hours)","ステータスごとの所要時間 (時間)",,
"Time spent per status per user (hours)","ユーザーごとのステータスごとの所要時間 (時間)",,
Title,タイトル,,
To,宛先,,
"Top menu",トップメニュー,,
"Total time per status",ステータスごとの合計時間,,
"Track flow",トラックフロー,,
"Track workflow",ワークフローの追跡,,
"Tracking line",,,
"Tracking lines",,,
Transactional,トランザクション,,
Transition,トランジション,,
Transitions,トランジション,,
Type,種類,,
"UI options",UIオプション,,
Update,更新,,
User,ユーザー,,
"Validation type",検証タイプ,,
Value,値,,
"Value expr",値式,,
View,表示,,
"View generated",生成されたビュー,,
"View params",パラメータの表示,,
Views,ビュー,,
Widget,ウィジェット,,
Wkf,ワーク,,
"Wkf field",WKFフィールド,,
"Wkf sequence",WKF配列,,
"Wkf tracking",WKFトラッキング,,
"Wkf trackings",WKFトラック,,
"Wkf transition",WKF遷移,,
"Workflow dashboard",ワークフローダッシュボード,,
"Workflow is not saved",ワークフローは保存されません,,
Year,年,,
contains,含む,,
"doesn't contains",含まない,,
equal,等しい,,
"greater or equal",以上,,
"greater than",より大きい,,
in,イン,,
include,含める,,
"is false",が偽である,,
"is not null",はNULLではありません,,
"is null",がNULLです,,
"is true",が真である,,
"less or equal",以下,,
"less than",より小さい,,
"not equal",等しくない,,
"not in",イン,,
"not include",含まない,,
value:BPM,BPM,,
"value:Product App",製品アプリケーション,,
xmlId,"XML ID",,
