key,message,comment,context
"Unit price",単価,,
"Unit price A.T.I.",単価A.T.I,,
"Unit price W.T.",単価W.T,,
"Unit price discounted",割引単価,,
Units,単位,,
"Update lines with selected project",選択したプロジェクトでラインを更新,,
Validate,検証,,
Validated,検証済み,,
"Validated by",検証者,,
"Validation date",検証日,,
"Version Number",バージョンNo.,,
WT,WT,,
"Warning, a completed order can't be changed anymore, do you want to continue?",続行しますか?,,
"You have to choose at least one purchase order",少なくとも1つの発注を選択する必要があります,,
"You must configure Purchase module for the company %s",会社%sの購入モジュールを構成する必要があります,,
"You need a purchase order associated to line.",明細に関連付けられた発注が必要です,,
important,重要な,,
info,情報,,
success,成功,,
value:Purchase,値:購入,,
"value:Purchase Request",値:購入依頼,,
warning,警告,,
"{{ company.name }}",{{company.name}},,
"{{ stockLocation.name }}",{{stockLocation.name}},,
入,,
"value:Purchase Request",値:購入依頼,,
warning,警告,,
"{{ company.name }}",{{company.name}},,
"{{ stockLocation.name }}",{{stockLocation.name}},,
